"fA","fB"
"20000","25000"
"20000","30000"
"20000","35000"
"20000","40000"
"20000","45000"
"20000","50000"
"20000","55000"
"20000","60000"
"20000","65000"
"20000","70000"
"20000","75000"
"20000","80000"
"20000","85000"
"20000","90000"
"20000","95000"
"20000","100000"
"25000","30000"
"25000","35000"
"25000","40000"
"25000","45000"
"25000","50000"
"25000","55000"
"25000","60000"
"25000","65000"
"25000","70000"
"25000","75000"
"25000","80000"
"25000","85000"
"25000","90000"
"25000","95000"
"25000","100000"
"30000","35000"
"30000","40000"
"30000","45000"
"30000","50000"
"30000","55000"
"30000","60000"
"30000","65000"
"30000","70000"
"30000","75000"
"30000","80000"
"30000","85000"
"30000","90000"
"30000","95000"
"30000","100000"
"35000","40000"
"35000","45000"
"35000","50000"
"35000","55000"
"35000","60000"
"35000","65000"
"35000","70000"
"35000","75000"
"35000","80000"
"35000","85000"
"35000","90000"
"35000","95000"
"35000","100000"
"40000","45000"
"40000","50000"
"40000","55000"
"40000","60000"
"40000","65000"
"40000","70000"
"40000","75000"
"40000","80000"
"40000","85000"
"40000","90000"
"40000","95000"
"40000","100000"
"45000","50000"
"45000","55000"
"45000","60000"
"45000","65000"
"45000","70000"
"45000","75000"
"45000","80000"
"45000","85000"
"45000","90000"
"45000","95000"
"45000","100000"
"50000","55000"
"50000","60000"
"50000","65000"
"50000","70000"
"50000","75000"
"50000","80000"
"50000","85000"
"50000","90000"
"50000","95000"
"50000","100000"
"55000","60000"
"55000","65000"
"55000","70000"
"55000","75000"
"55000","80000"
"55000","85000"
"55000","90000"
"55000","95000"
"55000","100000"
"60000","65000"
"60000","70000"
"60000","75000"
"60000","80000"
"60000","85000"
"60000","90000"
"60000","95000"
"60000","100000"
"65000","70000"
"65000","75000"
"65000","80000"
"65000","85000"
"65000","90000"
"65000","95000"
"65000","100000"
"70000","75000"
"70000","80000"
"70000","85000"
"70000","90000"
"70000","95000"
"70000","100000"
"75000","80000"
"75000","85000"
"75000","90000"
"75000","95000"
"75000","100000"
"80000","85000"
"80000","90000"
"80000","95000"
"80000","100000"
"85000","90000"
"85000","95000"
"85000","100000"
"90000","95000"
"90000","100000"
"95000","100000"
